fire_id,canonical_url,archive_year,updated_date,last_updated_by
522114fe-ada8-49a9-9bb2-5891103ff0ca,/incidents/2013/7/1/kirker-fire/,2021,2021-03-24T18:30:00Z,jrkim2
05d0fed7-8502-4a6f-9c5c-b9cee0e75408,/incidents/2013/6/16/rolling-fire/,2021,2021-03-24T18:30:00Z,jrkim2
b202bd85-c5ef-4bdf-8270-d556f95c3742,/incidents/2013/8/20/gobblers-fire/,2021,2021-03-24T18:30:00Z,jrkim2
094719ba-a47b-4abb-9ec5-a506b2b9fd23,/incidents/2013/2/24/river-fire/,2021,2021-03-24T18:30:00Z,jrkim2
1f94fce5-49a5-4220-bc99-f003ab4d3e60,/incidents/2013/10/3/putah-fire/,2021,2021-03-24T18:30:00Z,jrkim2
ca68f3c4-4906-4952-b794-4531d7da8369,/incidents/2013/5/3/tres-pinos-fire/,2021,2021-03-24T18:30:00Z,jrkim2
99cb21da-9639-4300-9a97-1cadc993189f,/incidents/2013/2/28/jurupa-fire/,2021,2021-03-24T18:30:00Z,jrkim2
d922e7c8-814a-412b-a40b-53072d0983ea,/incidents/2013/10/4/summit-fire/,2021,2021-03-24T18:30:00Z,jrkim2
0b51d59b-457d-4a62-b066-55c2b8d400e2,/incidents/2013/5/30/shelton-fire/,2021,2021-03-24T18:30:00Z,jrkim2
1a5192f1-bc99-4130-8683-381e0534b76a,/incidents/2013/6/3/lone-fire/,2021,2021-03-24T18:30:00Z,jrkim2
7a4a3552-3bea-4428-984c-e2edef13980f,/incidents/2013/1/22/becks-fire/,2021,2021-03-24T18:30:00Z,jrkim2
95399a9c-8b3e-4413-9f56-5ed57d3d81b3,/incidents/2013/7/1/concord-fire/,2021,2021-03-24T18:30:00Z,jrkim2
357ffc13-bef9-48eb-810f-c5de851972eb,/incidents/2013/4/30/gold-fire/,2021,2021-03-24T18:30:00Z,jrkim2
eb5a3f2a-0c25-417a-af78-bb0d643247c7,/incidents/2013/9/23/madre-fire/,2021,2021-03-24T18:30:00Z,jrkim2
f6f6fefa-ac4e-466f-815e-492416e37b98,/incidents/2013/9/9/lyon-fire/,2021,2021-03-24T18:30:00Z,jrkim2
62eabea3-40be-497d-94e4-150f011b925f,/incidents/2013/8/8/sharp-fire/,2021,2021-03-24T18:30:00Z,jrkim2
2ad509e4-99f1-4e1a-81eb-839f772f9c45,/incidents/2013/6/8/vasco-fire/,2021,2021-03-24T18:30:00Z,jrkim2
fe47b1c2-b9c0-44be-8d10-f270056db35c,/incidents/2013/6/13/pfe-fire/,2021,2021-03-24T18:30:00Z,jrkim2
f3a3c56c-d2fc-49df-b0e2-ab36356b17d4,/incidents/2013/6/12/daves-fire/,2021,2021-03-24T18:30:00Z,jrkim2
5649e78d-7c26-4698-89a0-b0fa9a35cf78,/incidents/2013/5/1/306-fire/,2021,2021-03-24T18:30:00Z,jrkim2
0d38ff45-833e-488a-881f-30f24678c49c,/incidents/2013/7/17/tassajara-fire/,2021,2021-03-24T18:30:00Z,jrkim2
f7358513-329f-4dba-8980-4cd3a19b469a,/incidents/2013/9/24/sierra-fire/,2021,2021-03-24T18:30:00Z,jrkim2
c94959d7-eb88-4724-8feb-ba0662afca10,/incidents/2013/7/4/vina-fire/,2021,2021-03-24T18:30:00Z,jrkim2
f21a41c6-0905-4531-9bdf-2456d0051eed,/incidents/2013/8/19/burney-lightning-series-warner-fire/,2021,2021-03-24T18:30:00Z,jrkim2
4423899b-6197-4ef5-9f73-bca1763f17e6,/incidents/2013/7/19/paskenta-fire/,2021,2021-03-24T18:30:00Z,jrkim2
79d476e5-0b4d-48e2-a105-2bba5c1140e9,/incidents/2013/11/21/silverado-fire/,2021,2021-03-24T18:30:00Z,jrkim2
cb5f34a0-177e-445d-9349-dd94063a01d0,/incidents/2013/5/28/olive-fire/,2021,2021-03-24T18:30:00Z,jrkim2
0aa08938-eaab-4a60-8891-946197328f94,/incidents/2013/11/4/capay-fire/,2021,2021-03-24T18:30:00Z,jrkim2
4630e9ce-88ec-4159-9bc9-25ff5f8216cc,/incidents/2013/7/19/50-fire/,2021,2021-03-24T18:30:00Z,jrkim2
4630e9ce-88ec-4159-9bc9-25ff5f8216cc,/incidents/2013/7/19/50-fire/,2021,2021-03-24T18:30:00Z,jrkim2
1460f2d9-853b-4901-bed3-ac196e00bb3a,/incidents/2013/10/4/crane-fire/,2021,2021-03-24T18:30:00Z,jrkim2
c9b5d1ff-c042-4b39-8bac-b10fb6fc6c13,/incidents/2013/7/26/lakeville-fire/,2021,2021-03-24T18:30:00Z,jrkim2
6a48000a-6198-46dd-9a91-0b0159183145,/incidents/2013/10/4/highland-fire/,2021,2021-03-24T18:30:00Z,jrkim2
d48a839f-d8da-44d7-9b35-b9f61aa28c61,/incidents/2013/7/16/redlands-fire/,2021,2021-03-24T18:30:00Z,jrkim2
873074c8-4b6d-417b-a78c-1d1430027805,/incidents/2013/7/12/diablo-fire/,2021,2021-03-24T18:30:00Z,jrkim2
23ec2f69-da30-4983-80c2-1f04bfea6f9a,/incidents/2013/6/25/george-fire/,2021,2021-03-24T18:30:00Z,jrkim2
28ffc826-6789-429c-9801-f3a02dbb320a,/incidents/2013/5/22/neal-fire/,2021,2021-03-24T18:30:00Z,jrkim2
794412f2-1ba2-4217-ac38-49272a96fb6f,/incidents/2013/5/28/magic-fire/,2021,2021-03-24T18:30:00Z,jrkim2
d332a628-6290-4e91-b8d0-4dc663b80c38,/incidents/2013/9/8/angora-fire/,2021,2021-03-24T18:30:00Z,jrkim2
64e4f81e-d872-44c4-ba8d-111fa77124ba,/incidents/2013/5/1/yellow-fire/,2021,2021-03-24T18:30:00Z,jrkim2
2b403f03-fe84-450a-90b7-befb8acc7e70,/incidents/2013/6/18/california-fire/,2021,2021-03-24T18:30:00Z,jrkim2
